id,molecule,PPB(fb),SMILES
1,Pep.1,0.242,O=C(N)C[C@@H](C1=O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N14)CCC4)CCCNC(N)=[NH2+]
2,Pep.2,0.005,O=C(N)C[C@@H](C1=O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N13)CCC3
3,Pep.3,0.0004,[NH3+][C@H]1CSSC[C@@H](C([O-])=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H](C)NC1=O)Cc(c[nH]2)c(c23)cccc3
4,Pep.4,0.616,c1ccccc1C[C@@H](C2=O)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](Cc(c[nH]4)c(c45)cccc5)NC(=O)[C@@H](NC(=O)[C@@H](N26)CCC6)Cc7ccccc7
5,Pep.5,0,NC(=[NH2+])NCCC[C@@H](C1=O)NC(=O)[C@H](Cc(c[nH]2)c(c23)cccc3)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](N14)CCC4)CCCNC(N)=[NH2+]
6,Pep.6,0.263,[NH3+][C@H]1CSSC[C@@H](C([O-])=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](Cc(c[nH]2)c(c23)cccc3)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC1=O)Cc5ccccc5
7,Pep.7,0,[NH3+][C@H]1CSSC[C@@H](C([O-])=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC1=O)CCCC[NH3+]
8,Pep.8,0.855,[NH3+][C@H]1CSSC[C@@H](C([O-])=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc5ccc(O)cc5)NC(=O)[C@H](Cc6ccc(O)cc6)NC(=O)[C@H](Cc7ccc(O)cc7)NC(=O)[C@@H](NC1=O)Cc8ccc(O)cc8
9,Pep.9,0,[NH3+][C@H]1CSSC[C@@H](C([O-])=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](C)NC1=O
10,Pep.10,0.367,c1[nH]cnc1C[C@@H](C2=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](N26)CCC6
11,Pep.11,0,O=C(N)CC[C@@H](C1=O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](N12)CCC2)Cc(c[nH]3)c(c34)cccc4
